Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach,Capital improvement project,Infiltration policy,Freeboard policy,Buyouts,Future Buyout,Recreational investment,Shelter Small,Basketball Small,Football,Open Area Small,Shelter Medium,Soccer Small,Volleyball Small,Exercise Area Small,Picnic Area,Playground Large,Shelter Large,Soccer Large,Track,Trail Small,Amphitheater,Open Area Large,Playground Small,Soccer Medium,Softball/Baseball Small,Trail Medium,Trail Large
Role216,19,nondisclosed,Scientist,Innovative,Informal,Painting,Bachelor,Eastern,Spanish,Intermediate,Video,Active,Humanism,Married,High income,Average health,Full-time,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role217,69,nondisclosed,Artist,Extroverted,Informal,Cooking,Graduate Degree,Eastern,English,Expert,Video,Active,Environmentalism,Divorced,Middle income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role218,41,male,Doctor,Innovative,Direct,Video Games,Bachelor,Eastern,English,Novice,Video,Active,Atheism,Widowed,Middle income,Health-conscious,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role219,76,female,Retired,Traditional,Empathetic,Video Games,High School,African,Spanish,Expert,Mixed,Sedentary,Humanism,Single,Low income,Average health,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role220,56,male,Retired,Introverted,Informal,Cooking,Bachelor,Middle Eastern,Mandarin,Novice,Video,Sedentary,Islam,Divorced,Middle income,Average health,Full-time,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Role221,36,genderqueer,Artist,Extroverted,Humorous,Video Games,Graduate Degree,Western,Mandarin,Expert,Voice,Sedentary,Humanism,In a relationship,High income,Healthy,Full-time,Creative,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role222,26,female,Doctor,Traditional,Mixed,Painting,Bachelor,Western,French,Intermediate,Video,Active,Humanism,Widowed,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role223,55,genderqueer,Teacher,Extroverted,Mixed,Reading,High School,Eastern,French,Novice,Mixed,Active,Atheism,Single,Low income,Healthy,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role224,26,male,Engineer,Innovative,Formal,Cooking,Bachelor,Eastern,English,Intermediate,Voice,Sedentary,Humanism,Widowed,Low income,Healthy,Sporadic,Analytical,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role225,25,genderqueer,Scientist,Introverted,Humorous,Video Games,High School,Western,English,Novice,Text,Sedentary,Christianity,Single,Middle income,Healthy,Sporadic,Creative,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role226,57,male,Student,Introverted,Informal,Painting,Graduate Degree,Western,English,Intermediate,Voice,Sedentary,Atheism,Divorced,Low income,Average health,Sporadic,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1
Role227,42,genderqueer,Artist,Traditional,Empathetic,Cooking,Graduate Degree,Middle Eastern,Spanish,Novice,Video,Active,Islam,Widowed,High income,Average health,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role228,25,female,Artist,Traditional,Mixed,Reading,Bachelor,Middle Eastern,Spanish,Intermediate,Voice,Active,Humanism,In a relationship,Low income,Healthy,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Role229,62,male,Student,Extroverted,Mixed,Cooking,Graduate Degree,African,French,Intermediate,Video,Sedentary,Christianity,Married,Low income,Average health,Part-time,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role230,75,male,Engineer,Traditional,Formal,Traveling,High School,Western,English,Novice,Voice,Sedentary,Islam,In a relationship,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role231,62,nondisclosed,Doctor,Traditional,Direct,Sports,Graduate Degree,Western,French,Expert,Voice,Active,Christianity,Single,Middle income,Average health,Full-time,Analytical,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role232,28,nondisclosed,Doctor,Traditional,Direct,Painting,High School,Eastern,Mandarin,Intermediate,Text,Sedentary,Humanism,Married,High income,Average health,Part-time,Analytical,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role233,30,genderqueer,Doctor,Introverted,Mixed,Traveling,Graduate Degree,Middle Eastern,English,Intermediate,Mixed,Active,Islam,Divorced,Low income,Health-conscious,Sporadic,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Role234,24,male,Teacher,Innovative,Informal,Traveling,High School,African,English,Expert,Voice,Active,Christianity,Divorced,Low income,Average health,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role235,49,genderqueer,Teacher,Innovative,Mixed,Reading,Bachelor,Middle Eastern,Spanish,Novice,Text,Sedentary,Christianity,Divorced,Middle income,Healthy,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role236,37,nondisclosed,Student,Innovative,Empathetic,Traveling,High School,Middle Eastern,English,Novice,Video,Active,Islam,Widowed,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role237,72,nondisclosed,Student,Traditional,Formal,Traveling,High School,Eastern,French,Novice,Video,Active,Islam,Married,High income,Health-conscious,Part-time,Analytical,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role238,18,male,Teacher,Traditional,Formal,Sports,Bachelor,Western,Spanish,Novice,Text,Sedentary,Christianity,Married,Low income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role239,24,male,Doctor,Traditional,Informal,Traveling,Bachelor,African,English,Novice,Mixed,Sedentary,Atheism,Divorced,Low income,Healthy,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role240,19,female,Engineer,Traditional,Humorous,Video Games,Graduate Degree,Western,English,Intermediate,Voice,Sedentary,Christianity,Single,Low income,Health-conscious,Sporadic,Creative,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role241,79,female,Scientist,Traditional,Direct,Reading,Graduate Degree,Middle Eastern,Mandarin,Intermediate,Voice,Sedentary,Islam,Single,Low income,Healthy,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Role242,39,male,Student,Introverted,Humorous,Cooking,Bachelor,Middle Eastern,French,Intermediate,Mixed,Sedentary,Humanism,Divorced,High income,Average health,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role243,19,female,Retired,Traditional,Formal,Traveling,Graduate Degree,African,English,Novice,Mixed,Sedentary,Christianity,Single,Low income,Average health,Sporadic,Analytical,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role244,34,genderqueer,Doctor,Introverted,Formal,Cooking,Bachelor,African,Mandarin,Novice,Video,Sedentary,Humanism,In a relationship,Middle income,Average health,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role245,67,male,Engineer,Traditional,Mixed,Traveling,High School,Western,English,Expert,Voice,Sedentary,Christianity,Widowed,Middle income,Health-conscious,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role246,55,male,Engineer,Traditional,Direct,Painting,Bachelor,Middle Eastern,Spanish,Intermediate,Text,Active,Humanism,Single,Middle income,Average health,Sporadic,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role247,48,male,Artist,Innovative,Mixed,Painting,Bachelor,Western,French,Intermediate,Video,Sedentary,Atheism,Divorced,Low income,Average health,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Role248,78,genderqueer,Teacher,Innovative,Informal,Cooking,Bachelor,Middle Eastern,French,Novice,Voice,Active,Christianity,Divorced,Low income,Average health,Full-time,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1
Role249,71,male,Scientist,Introverted,Informal,Cooking,Graduate Degree,Western,French,Novice,Voice,Active,Christianity,In a relationship,Middle income,Health-conscious,Part-time,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role250,53,female,Retired,Introverted,Direct,Video Games,Bachelor,Eastern,French,Intermediate,Video,Active,Atheism,Widowed,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role251,57,female,Retired,Extroverted,Direct,Cooking,Bachelor,Western,French,Expert,Text,Active,Atheism,Divorced,Middle income,Healthy,Sporadic,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role252,66,female,Teacher,Innovative,Direct,Traveling,High School,Western,Spanish,Novice,Voice,Active,Islam,Divorced,Low income,Average health,Part-time,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role253,74,female,Doctor,Extroverted,Formal,Video Games,Graduate Degree,Eastern,Mandarin,Intermediate,Mixed,Active,Islam,Widowed,Middle income,Healthy,Full-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role254,30,female,Retired,Introverted,Direct,Sports,Graduate Degree,Middle Eastern,Spanish,Novice,Text,Active,Atheism,In a relationship,High income,Average health,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role255,48,genderqueer,Student,Innovative,Empathetic,Video Games,Bachelor,African,Spanish,Expert,Voice,Active,Humanism,In a relationship,Low income,Health-conscious,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Role256,30,nondisclosed,Scientist,Introverted,Mixed,Video Games,Graduate Degree,Middle Eastern,Mandarin,Novice,Mixed,Sedentary,Islam,Married,High income,Healthy,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role257,45,female,Doctor,Innovative,Empathetic,Reading,High School,Western,Mandarin,Expert,Voice,Active,Environmentalism,Single,Low income,Healthy,Full-time,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role258,54,genderqueer,Scientist,Introverted,Direct,Sports,Bachelor,Middle Eastern,French,Novice,Mixed,Sedentary,Islam,Married,Low income,Health-conscious,Sporadic,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role259,71,genderqueer,Engineer,Introverted,Humorous,Cooking,Bachelor,Western,French,Novice,Video,Sedentary,Islam,Widowed,High income,Healthy,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role260,25,male,Retired,Extroverted,Mixed,Traveling,Bachelor,African,English,Expert,Voice,Sedentary,Islam,Single,Low income,Average health,Sporadic,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role261,45,female,Teacher,Introverted,Mixed,Sports,Graduate Degree,Middle Eastern,Spanish,Expert,Video,Sedentary,Humanism,Widowed,Middle income,Health-conscious,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role262,66,nondisclosed,Scientist,Extroverted,Direct,Painting,Bachelor,Middle Eastern,Mandarin,Intermediate,Video,Sedentary,Christianity,Divorced,Low income,Healthy,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role263,80,female,Engineer,Innovative,Formal,Reading,Bachelor,African,English,Novice,Voice,Active,Christianity,Divorced,Middle income,Healthy,Sporadic,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Role264,18,female,Doctor,Extroverted,Humorous,Video Games,Bachelor,Middle Eastern,Spanish,Intermediate,Video,Sedentary,Christianity,Divorced,Low income,Healthy,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role265,53,genderqueer,Retired,Traditional,Humorous,Cooking,Bachelor,Eastern,Mandarin,Expert,Voice,Active,Humanism,Divorced,Low income,Health-conscious,Full-time,Analytical,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Role266,58,male,Retired,Innovative,Empathetic,Reading,High School,Western,Spanish,Intermediate,Text,Active,Islam,Divorced,High income,Health-conscious,Sporadic,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role267,50,male,Engineer,Traditional,Empathetic,Sports,Graduate Degree,Eastern,English,Intermediate,Voice,Sedentary,Islam,Divorced,Middle income,Health-conscious,Full-time,Analytical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role268,42,male,Artist,Introverted,Direct,Video Games,High School,Eastern,Mandarin,Intermediate,Voice,Sedentary,Atheism,Divorced,High income,Health-conscious,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1
Role269,34,nondisclosed,Student,Traditional,Empathetic,Video Games,Bachelor,Western,Spanish,Expert,Video,Active,Humanism,Divorced,Middle income,Healthy,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role270,37,nondisclosed,Engineer,Traditional,Empathetic,Painting,High School,Middle Eastern,French,Expert,Text,Active,Environmentalism,Widowed,Low income,Average health,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role271,46,female,Student,Innovative,Direct,Traveling,High School,Western,French,Intermediate,Mixed,Active,Environmentalism,Single,Middle income,Healthy,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Role272,62,nondisclosed,Student,Introverted,Informal,Painting,Graduate Degree,Middle Eastern,Spanish,Expert,Voice,Active,Christianity,Widowed,High income,Health-conscious,Full-time,Analytical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role273,73,female,Doctor,Traditional,Direct,Video Games,Graduate Degree,African,English,Novice,Voice,Sedentary,Atheism,Widowed,High income,Healthy,Full-time,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role274,77,female,Artist,Extroverted,Mixed,Reading,High School,Eastern,English,Novice,Mixed,Active,Environmentalism,Single,High income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role275,40,female,Artist,Extroverted,Formal,Painting,Bachelor,Middle Eastern,Spanish,Expert,Mixed,Sedentary,Christianity,Married,High income,Healthy,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role276,44,genderqueer,Retired,Extroverted,Mixed,Traveling,Graduate Degree,African,French,Intermediate,Mixed,Active,Islam,Widowed,Middle income,Health-conscious,Part-time,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Role277,64,genderqueer,Scientist,Extroverted,Formal,Cooking,High School,Middle Eastern,Spanish,Novice,Text,Active,Christianity,Married,Low income,Health-conscious,Sporadic,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role278,75,male,Student,Extroverted,Direct,Cooking,Graduate Degree,Western,Spanish,Expert,Video,Active,Environmentalism,Divorced,High income,Healthy,Sporadic,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role279,58,nondisclosed,Retired,Innovative,Empathetic,Video Games,Bachelor,Western,French,Expert,Mixed,Active,Islam,Widowed,High income,Healthy,Full-time,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role280,65,female,Engineer,Traditional,Informal,Sports,Graduate Degree,African,French,Novice,Voice,Active,Islam,Widowed,High income,Healthy,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role281,73,male,Scientist,Traditional,Mixed,Painting,Graduate Degree,Western,English,Novice,Voice,Sedentary,Humanism,Divorced,Middle income,Health-conscious,Sporadic,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role282,31,male,Teacher,Extroverted,Empathetic,Traveling,Bachelor,Middle Eastern,Spanish,Intermediate,Voice,Sedentary,Islam,In a relationship,Low income,Healthy,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
Role283,33,genderqueer,Scientist,Extroverted,Formal,Sports,Bachelor,Middle Eastern,Mandarin,Novice,Text,Active,Environmentalism,Widowed,Middle income,Average health,Part-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role284,68,nondisclosed,Retired,Traditional,Humorous,Traveling,Graduate Degree,Eastern,Mandarin,Intermediate,Video,Active,Islam,Single,High income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role285,69,genderqueer,Teacher,Introverted,Direct,Reading,Graduate Degree,African,Mandarin,Intermediate,Video,Active,Christianity,Married,Low income,Healthy,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role286,41,male,Doctor,Innovative,Mixed,Painting,Graduate Degree,African,French,Intermediate,Voice,Sedentary,Atheism,In a relationship,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role287,20,nondisclosed,Teacher,Innovative,Direct,Video Games,Graduate Degree,Western,English,Novice,Video,Sedentary,Atheism,Married,High income,Health-conscious,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role288,44,genderqueer,Engineer,Traditional,Humorous,Painting,Bachelor,African,French,Intermediate,Text,Sedentary,Islam,Divorced,High income,Healthy,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role289,27,nondisclosed,Engineer,Introverted,Formal,Video Games,Bachelor,African,Spanish,Novice,Voice,Active,Christianity,Widowed,High income,Average health,Sporadic,Analytical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role290,22,nondisclosed,Doctor,Extroverted,Informal,Video Games,Bachelor,Eastern,English,Intermediate,Mixed,Active,Christianity,Single,Middle income,Healthy,Part-time,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role291,65,nondisclosed,Doctor,Extroverted,Mixed,Painting,Graduate Degree,African,Spanish,Intermediate,Mixed,Sedentary,Environmentalism,Single,Low income,Healthy,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role292,66,male,Engineer,Introverted,Direct,Video Games,High School,Eastern,Spanish,Intermediate,Voice,Active,Environmentalism,Single,Low income,Health-conscious,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role293,25,nondisclosed,Artist,Innovative,Empathetic,Video Games,Graduate Degree,African,English,Expert,Mixed,Sedentary,Humanism,Single,Low income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Role294,66,male,Engineer,Innovative,Direct,Traveling,Graduate Degree,Eastern,French,Expert,Video,Sedentary,Christianity,Married,Low income,Healthy,Sporadic,Analytical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role295,70,male,Retired,Traditional,Empathetic,Sports,Bachelor,Middle Eastern,English,Expert,Text,Sedentary,Environmentalism,Widowed,Low income,Average health,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role296,56,nondisclosed,Engineer,Introverted,Formal,Sports,Graduate Degree,Western,Spanish,Expert,Video,Active,Atheism,Divorced,Middle income,Average health,Part-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role297,30,genderqueer,Scientist,Innovative,Informal,Painting,Graduate Degree,Middle Eastern,Mandarin,Expert,Mixed,Sedentary,Environmentalism,Single,Middle income,Healthy,Sporadic,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Role298,45,female,Engineer,Extroverted,Informal,Sports,Bachelor,African,French,Novice,Mixed,Active,Christianity,Divorced,Low income,Average health,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Role299,34,male,Doctor,Traditional,Mixed,Sports,Graduate Degree,Western,French,Expert,Voice,Active,Environmentalism,Widowed,High income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role300,52,male,Artist,Traditional,Humorous,Reading,Bachelor,Western,Spanish,Intermediate,Voice,Sedentary,Environmentalism,Married,Middle income,Health-conscious,Part-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role301,34,male,Scientist,Extroverted,Formal,Cooking,High School,Eastern,French,Expert,Video,Sedentary,Islam,Single,High income,Average health,Part-time,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role302,28,nondisclosed,Doctor,Innovative,Mixed,Cooking,Graduate Degree,Middle Eastern,French,Novice,Text,Active,Environmentalism,Married,High income,Healthy,Part-time,Collaborative,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Role303,59,female,Student,Traditional,Direct,Sports,Bachelor,African,French,Expert,Voice,Active,Humanism,Widowed,Middle income,Average health,Full-time,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role304,73,male,Teacher,Innovative,Humorous,Cooking,Bachelor,Eastern,English,Intermediate,Text,Sedentary,Atheism,Single,Middle income,Healthy,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role305,36,male,Doctor,Introverted,Mixed,Painting,Bachelor,Western,Spanish,Intermediate,Text,Sedentary,Humanism,Married,Middle income,Health-conscious,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role306,53,genderqueer,Scientist,Introverted,Empathetic,Traveling,High School,African,Spanish,Expert,Mixed,Sedentary,Humanism,Single,High income,Average health,Sporadic,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role307,19,genderqueer,Artist,Extroverted,Informal,Video Games,Graduate Degree,Eastern,Spanish,Novice,Voice,Active,Humanism,Married,Low income,Health-conscious,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role308,22,nondisclosed,Student,Traditional,Direct,Reading,Bachelor,Eastern,French,Expert,Mixed,Sedentary,Atheism,In a relationship,High income,Healthy,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1
Role309,29,nondisclosed,Engineer,Introverted,Direct,Traveling,High School,Middle Eastern,English,Intermediate,Mixed,Sedentary,Humanism,In a relationship,High income,Average health,Part-time,Analytical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role310,59,female,Artist,Traditional,Empathetic,Painting,Graduate Degree,Eastern,English,Expert,Text,Active,Atheism,Widowed,Middle income,Health-conscious,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1
Role311,74,male,Retired,Traditional,Empathetic,Video Games,Graduate Degree,Middle Eastern,English,Novice,Mixed,Active,Environmentalism,Widowed,Middle income,Average health,Sporadic,Analytical,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role312,39,nondisclosed,Student,Traditional,Mixed,Traveling,Bachelor,Eastern,French,Intermediate,Video,Active,Atheism,Divorced,Low income,Health-conscious,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role313,49,nondisclosed,Engineer,Extroverted,Formal,Painting,Graduate Degree,Middle Eastern,Spanish,Novice,Video,Active,Humanism,In a relationship,High income,Health-conscious,Part-time,Collaborative,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
