Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach
Role155,73,genderqueer,Teacher,Introverted,Empathetic,Sports,Graduate Degree,African,English,Novice,Video,Sedentary,Islam,Widowed,Middle income,Healthy,Sporadic,Analytical
Role156,24,genderqueer,Scientist,Introverted,Direct,Reading,Bachelor,Middle Eastern,Spanish,Novice,Mixed,Active,Christianity,Widowed,Middle income,Health-conscious,Sporadic,Creative
Role157,73,nondisclosed,Scientist,Traditional,Mixed,Video Games,Graduate Degree,Middle Eastern,French,Novice,Text,Active,Humanism,Single,High income,Healthy,Part-time,Creative
Role158,22,genderqueer,Retired,Traditional,Informal,Sports,Bachelor,Middle Eastern,French,Novice,Mixed,Sedentary,Environmentalism,Single,Middle income,Average health,Part-time,Creative
Role159,26,female,Teacher,Introverted,Formal,Painting,Graduate Degree,Western,Mandarin,Novice,Mixed,Sedentary,Islam,Married,High income,Average health,Full-time,Practical
Role160,53,nondisclosed,Student,Traditional,Humorous,Cooking,High School,Western,English,Novice,Video,Active,Christianity,Single,High income,Healthy,Part-time,Analytical
Role161,41,genderqueer,Teacher,Traditional,Direct,Video Games,Graduate Degree,Western,French,Intermediate,Voice,Active,Islam,In a relationship,High income,Healthy,Part-time,Collaborative
Role162,77,male,Retired,Traditional,Mixed,Traveling,Bachelor,Middle Eastern,Spanish,Novice,Voice,Active,Environmentalism,Divorced,Middle income,Healthy,Full-time,Analytical
Role163,19,male,Scientist,Introverted,Empathetic,Cooking,Bachelor,Eastern,English,Novice,Video,Sedentary,Atheism,Widowed,High income,Healthy,Sporadic,Practical
Role164,45,nondisclosed,Scientist,Extroverted,Formal,Video Games,High School,Middle Eastern,English,Novice,Voice,Sedentary,Humanism,In a relationship,Middle income,Average health,Sporadic,Creative
Role165,48,nondisclosed,Engineer,Innovative,Informal,Traveling,Bachelor,Western,French,Intermediate,Text,Active,Atheism,In a relationship,Middle income,Average health,Full-time,Creative
Role166,21,genderqueer,Student,Introverted,Formal,Sports,High School,Middle Eastern,Mandarin,Expert,Mixed,Sedentary,Christianity,In a relationship,Middle income,Healthy,Sporadic,Creative
Role167,26,genderqueer,Teacher,Extroverted,Formal,Painting,Bachelor,African,English,Intermediate,Voice,Sedentary,Islam,Single,Middle income,Healthy,Part-time,Collaborative
Role168,60,female,Student,Innovative,Direct,Sports,High School,Eastern,Spanish,Intermediate,Video,Sedentary,Atheism,Widowed,High income,Health-conscious,Part-time,Analytical
Role169,42,female,Teacher,Introverted,Direct,Cooking,Bachelor,Middle Eastern,French,Intermediate,Video,Active,Environmentalism,Divorced,High income,Average health,Part-time,Practical
Role170,53,female,Student,Innovative,Empathetic,Painting,High School,Western,Spanish,Novice,Text,Active,Islam,Single,High income,Health-conscious,Full-time,Practical
Role171,59,genderqueer,Scientist,Extroverted,Formal,Cooking,Bachelor,Eastern,French,Expert,Mixed,Sedentary,Islam,Single,High income,Health-conscious,Sporadic,Collaborative
Role172,69,genderqueer,Retired,Traditional,Direct,Video Games,Graduate Degree,African,Mandarin,Intermediate,Video,Sedentary,Christianity,In a relationship,Low income,Healthy,Sporadic,Analytical
Role173,35,genderqueer,Retired,Innovative,Mixed,Traveling,High School,Middle Eastern,English,Novice,Voice,Sedentary,Humanism,Divorced,Middle income,Average health,Full-time,Practical
Role174,20,nondisclosed,Student,Traditional,Informal,Painting,Graduate Degree,Middle Eastern,Spanish,Intermediate,Voice,Sedentary,Environmentalism,Widowed,High income,Average health,Sporadic,Creative
Role175,37,nondisclosed,Scientist,Traditional,Empathetic,Video Games,Bachelor,African,French,Expert,Mixed,Active,Environmentalism,Married,Middle income,Health-conscious,Part-time,Analytical
Role176,70,nondisclosed,Engineer,Innovative,Direct,Traveling,High School,African,Mandarin,Expert,Mixed,Active,Christianity,Divorced,Low income,Health-conscious,Part-time,Practical
Role177,22,nondisclosed,Retired,Extroverted,Direct,Cooking,High School,Eastern,Spanish,Novice,Voice,Sedentary,Environmentalism,Married,High income,Healthy,Part-time,Practical
Role178,63,male,Student,Introverted,Formal,Video Games,Bachelor,Middle Eastern,Mandarin,Intermediate,Video,Active,Atheism,Single,Middle income,Health-conscious,Part-time,Collaborative
Role179,75,genderqueer,Engineer,Traditional,Humorous,Painting,Graduate Degree,Middle Eastern,English,Intermediate,Video,Active,Humanism,Widowed,Middle income,Healthy,Sporadic,Collaborative
Role180,59,male,Retired,Innovative,Direct,Painting,Bachelor,Western,English,Intermediate,Video,Sedentary,Environmentalism,Married,High income,Health-conscious,Part-time,Practical
Role181,74,nondisclosed,Artist,Traditional,Informal,Sports,High School,Western,Mandarin,Expert,Video,Sedentary,Atheism,Single,Low income,Healthy,Full-time,Creative
Role182,61,nondisclosed,Artist,Innovative,Direct,Reading,Bachelor,Western,French,Novice,Voice,Sedentary,Atheism,In a relationship,High income,Health-conscious,Full-time,Analytical
Role183,51,nondisclosed,Doctor,Introverted,Empathetic,Video Games,Graduate Degree,Western,English,Novice,Mixed,Sedentary,Atheism,In a relationship,High income,Health-conscious,Sporadic,Collaborative
Role184,43,genderqueer,Doctor,Introverted,Formal,Painting,High School,Western,Mandarin,Novice,Text,Sedentary,Environmentalism,Married,Middle income,Health-conscious,Sporadic,Analytical
Role185,64,genderqueer,Scientist,Innovative,Formal,Traveling,High School,Western,French,Intermediate,Voice,Sedentary,Christianity,Married,Low income,Average health,Part-time,Practical
Role186,30,genderqueer,Engineer,Traditional,Empathetic,Cooking,Graduate Degree,African,French,Intermediate,Mixed,Sedentary,Islam,In a relationship,High income,Health-conscious,Sporadic,Practical
Role187,70,male,Teacher,Introverted,Informal,Painting,Graduate Degree,African,English,Intermediate,Mixed,Active,Atheism,Married,Middle income,Healthy,Sporadic,Practical
Role188,75,male,Doctor,Traditional,Direct,Cooking,High School,African,English,Intermediate,Text,Sedentary,Environmentalism,Married,Middle income,Health-conscious,Part-time,Creative
Role189,18,female,Retired,Innovative,Informal,Cooking,High School,African,Spanish,Novice,Video,Sedentary,Islam,Divorced,Low income,Health-conscious,Full-time,Analytical
Role190,29,nondisclosed,Engineer,Extroverted,Humorous,Cooking,Graduate Degree,African,French,Intermediate,Mixed,Active,Islam,Widowed,Low income,Healthy,Full-time,Analytical
Role191,24,male,Student,Traditional,Humorous,Traveling,Bachelor,African,Mandarin,Expert,Video,Sedentary,Islam,Divorced,Low income,Healthy,Full-time,Practical
Role192,27,female,Student,Innovative,Informal,Reading,Bachelor,African,French,Expert,Voice,Sedentary,Atheism,Married,Low income,Healthy,Full-time,Analytical
Role193,77,nondisclosed,Artist,Traditional,Direct,Reading,Graduate Degree,Western,Mandarin,Expert,Mixed,Active,Islam,Single,Low income,Average health,Full-time,Analytical
Role194,48,nondisclosed,Doctor,Extroverted,Direct,Cooking,High School,Western,French,Novice,Text,Sedentary,Atheism,Widowed,Middle income,Health-conscious,Sporadic,Analytical
Role195,27,male,Doctor,Innovative,Humorous,Video Games,Graduate Degree,Western,Spanish,Intermediate,Mixed,Sedentary,Islam,In a relationship,High income,Average health,Part-time,Collaborative
Role196,19,nondisclosed,Student,Innovative,Informal,Video Games,Graduate Degree,Middle Eastern,English,Expert,Text,Sedentary,Environmentalism,Married,High income,Health-conscious,Sporadic,Creative
Role197,52,male,Engineer,Traditional,Informal,Reading,High School,Western,Mandarin,Novice,Video,Active,Atheism,In a relationship,Low income,Healthy,Full-time,Analytical
Role198,37,male,Artist,Innovative,Informal,Video Games,Graduate Degree,Middle Eastern,French,Novice,Mixed,Active,Humanism,In a relationship,Middle income,Healthy,Full-time,Practical
Role199,70,male,Student,Innovative,Humorous,Reading,Bachelor,Eastern,English,Expert,Text,Sedentary,Atheism,In a relationship,Low income,Average health,Sporadic,Collaborative
Role200,49,female,Student,Traditional,Informal,Sports,Bachelor,Eastern,English,Novice,Text,Active,Atheism,Single,Middle income,Average health,Sporadic,Analytical
Role201,79,nondisclosed,Artist,Innovative,Direct,Traveling,Bachelor,Middle Eastern,French,Intermediate,Video,Sedentary,Atheism,Widowed,Low income,Average health,Full-time,Collaborative
Role202,52,male,Doctor,Introverted,Empathetic,Cooking,Bachelor,African,Spanish,Intermediate,Voice,Active,Environmentalism,In a relationship,Low income,Health-conscious,Full-time,Creative
Role203,46,nondisclosed,Artist,Innovative,Direct,Cooking,Graduate Degree,Western,Mandarin,Intermediate,Text,Active,Humanism,Married,Middle income,Health-conscious,Sporadic,Collaborative
Role204,48,female,Artist,Traditional,Direct,Cooking,High School,Western,English,Novice,Video,Active,Islam,Widowed,Middle income,Average health,Full-time,Collaborative
Role205,56,male,Student,Innovative,Mixed,Video Games,High School,Middle Eastern,Spanish,Expert,Voice,Active,Humanism,Divorced,High income,Healthy,Full-time,Practical
Role206,63,female,Retired,Extroverted,Informal,Sports,Bachelor,Western,Mandarin,Novice,Mixed,Active,Humanism,Single,Low income,Average health,Part-time,Collaborative
Role207,59,female,Retired,Traditional,Informal,Video Games,Bachelor,Western,English,Expert,Mixed,Active,Christianity,Widowed,High income,Health-conscious,Full-time,Collaborative
Role208,49,male,Doctor,Traditional,Direct,Traveling,Bachelor,Eastern,English,Intermediate,Voice,Active,Environmentalism,Widowed,Middle income,Average health,Full-time,Practical
Role209,68,nondisclosed,Scientist,Traditional,Formal,Traveling,Graduate Degree,Middle Eastern,Mandarin,Novice,Text,Active,Islam,Divorced,Middle income,Healthy,Full-time,Practical
Role210,32,female,Scientist,Extroverted,Formal,Video Games,Graduate Degree,Middle Eastern,English,Expert,Video,Active,Humanism,Married,Low income,Health-conscious,Sporadic,Creative
Role211,33,nondisclosed,Student,Introverted,Direct,Video Games,Graduate Degree,Eastern,Mandarin,Intermediate,Text,Active,Atheism,Married,Middle income,Average health,Part-time,Creative
Role212,67,male,Teacher,Innovative,Humorous,Sports,Graduate Degree,African,Spanish,Intermediate,Mixed,Sedentary,Environmentalism,Widowed,Middle income,Healthy,Part-time,Analytical
Role213,28,female,Engineer,Innovative,Mixed,Reading,Bachelor,Western,English,Novice,Mixed,Active,Christianity,Single,Low income,Healthy,Full-time,Analytical
Role214,64,female,Engineer,Traditional,Informal,Sports,Graduate Degree,Eastern,English,Expert,Text,Active,Humanism,Single,Low income,Average health,Full-time,Creative
Role215,31,genderqueer,Retired,Introverted,Formal,Painting,Graduate Degree,Eastern,Mandarin,Expert,Video,Active,Humanism,Widowed,High income,Healthy,Full-time,Practical
Role216,19,nondisclosed,Scientist,Innovative,Informal,Painting,Bachelor,Eastern,Spanish,Intermediate,Video,Active,Humanism,Married,High income,Average health,Full-time,Practical
Role217,69,nondisclosed,Artist,Extroverted,Informal,Cooking,Graduate Degree,Eastern,English,Expert,Video,Active,Environmentalism,Divorced,Middle income,Health-conscious,Full-time,Practical
Role218,41,male,Doctor,Innovative,Direct,Video Games,Bachelor,Eastern,English,Novice,Video,Active,Atheism,Widowed,Middle income,Health-conscious,Part-time,Collaborative
Role219,76,female,Retired,Traditional,Empathetic,Video Games,High School,African,Spanish,Expert,Mixed,Sedentary,Humanism,Single,Low income,Average health,Full-time,Collaborative
Role220,56,male,Retired,Introverted,Informal,Cooking,Bachelor,Middle Eastern,Mandarin,Novice,Video,Sedentary,Islam,Divorced,Middle income,Average health,Full-time,Analytical
Role221,36,genderqueer,Artist,Extroverted,Humorous,Video Games,Graduate Degree,Western,Mandarin,Expert,Voice,Sedentary,Humanism,In a relationship,High income,Healthy,Full-time,Creative
Role222,26,female,Doctor,Traditional,Mixed,Painting,Bachelor,Western,French,Intermediate,Video,Active,Humanism,Widowed,Middle income,Health-conscious,Full-time,Collaborative
Role223,55,genderqueer,Teacher,Extroverted,Mixed,Reading,High School,Eastern,French,Novice,Mixed,Active,Atheism,Single,Low income,Healthy,Part-time,Collaborative
Role224,26,male,Engineer,Innovative,Formal,Cooking,Bachelor,Eastern,English,Intermediate,Voice,Sedentary,Humanism,Widowed,Low income,Healthy,Sporadic,Analytical
Role225,25,genderqueer,Scientist,Introverted,Humorous,Video Games,High School,Western,English,Novice,Text,Sedentary,Christianity,Single,Middle income,Healthy,Sporadic,Creative
Role226,57,male,Student,Introverted,Informal,Painting,Graduate Degree,Western,English,Intermediate,Voice,Sedentary,Atheism,Divorced,Low income,Average health,Sporadic,Creative
Role227,42,genderqueer,Artist,Traditional,Empathetic,Cooking,Graduate Degree,Middle Eastern,Spanish,Novice,Video,Active,Islam,Widowed,High income,Average health,Sporadic,Collaborative
Role228,25,female,Artist,Traditional,Mixed,Reading,Bachelor,Middle Eastern,Spanish,Intermediate,Voice,Active,Humanism,In a relationship,Low income,Healthy,Sporadic,Collaborative
Role229,62,male,Student,Extroverted,Mixed,Cooking,Graduate Degree,African,French,Intermediate,Video,Sedentary,Christianity,Married,Low income,Average health,Part-time,Analytical
Role230,75,male,Engineer,Traditional,Formal,Traveling,High School,Western,English,Novice,Voice,Sedentary,Islam,In a relationship,Middle income,Health-conscious,Full-time,Collaborative
Role231,62,nondisclosed,Doctor,Traditional,Direct,Sports,Graduate Degree,Western,French,Expert,Voice,Active,Christianity,Single,Middle income,Average health,Full-time,Analytical
Role232,28,nondisclosed,Doctor,Traditional,Direct,Painting,High School,Eastern,Mandarin,Intermediate,Text,Sedentary,Humanism,Married,High income,Average health,Part-time,Analytical
Role233,30,genderqueer,Doctor,Introverted,Mixed,Traveling,Graduate Degree,Middle Eastern,English,Intermediate,Mixed,Active,Islam,Divorced,Low income,Health-conscious,Sporadic,Analytical
Role234,24,male,Teacher,Innovative,Informal,Traveling,High School,African,English,Expert,Voice,Active,Christianity,Divorced,Low income,Average health,Full-time,Creative
Role235,49,genderqueer,Teacher,Innovative,Mixed,Reading,Bachelor,Middle Eastern,Spanish,Novice,Text,Sedentary,Christianity,Divorced,Middle income,Healthy,Part-time,Collaborative
Role236,37,nondisclosed,Student,Innovative,Empathetic,Traveling,High School,Middle Eastern,English,Novice,Video,Active,Islam,Widowed,Middle income,Health-conscious,Full-time,Collaborative
Role237,72,nondisclosed,Student,Traditional,Formal,Traveling,High School,Eastern,French,Novice,Video,Active,Islam,Married,High income,Health-conscious,Part-time,Analytical
Role238,18,male,Teacher,Traditional,Formal,Sports,Bachelor,Western,Spanish,Novice,Text,Sedentary,Christianity,Married,Low income,Health-conscious,Full-time,Practical
Role239,24,male,Doctor,Traditional,Informal,Traveling,Bachelor,African,English,Novice,Mixed,Sedentary,Atheism,Divorced,Low income,Healthy,Full-time,Creative
Role240,19,female,Engineer,Traditional,Humorous,Video Games,Graduate Degree,Western,English,Intermediate,Voice,Sedentary,Christianity,Single,Low income,Health-conscious,Sporadic,Creative
Role241,79,female,Scientist,Traditional,Direct,Reading,Graduate Degree,Middle Eastern,Mandarin,Intermediate,Voice,Sedentary,Islam,Single,Low income,Healthy,Full-time,Practical
Role242,39,male,Student,Introverted,Humorous,Cooking,Bachelor,Middle Eastern,French,Intermediate,Mixed,Sedentary,Humanism,Divorced,High income,Average health,Full-time,Creative
Role243,19,female,Retired,Traditional,Formal,Traveling,Graduate Degree,African,English,Novice,Mixed,Sedentary,Christianity,Single,Low income,Average health,Sporadic,Analytical
Role244,34,genderqueer,Doctor,Introverted,Formal,Cooking,Bachelor,African,Mandarin,Novice,Video,Sedentary,Humanism,In a relationship,Middle income,Average health,Full-time,Collaborative
Role245,67,male,Engineer,Traditional,Mixed,Traveling,High School,Western,English,Expert,Voice,Sedentary,Christianity,Widowed,Middle income,Health-conscious,Part-time,Creative
Role246,55,male,Engineer,Traditional,Direct,Painting,Bachelor,Middle Eastern,Spanish,Intermediate,Text,Active,Humanism,Single,Middle income,Average health,Sporadic,Analytical
Role247,48,male,Artist,Innovative,Mixed,Painting,Bachelor,Western,French,Intermediate,Video,Sedentary,Atheism,Divorced,Low income,Average health,Part-time,Creative
Role248,78,genderqueer,Teacher,Innovative,Informal,Cooking,Bachelor,Middle Eastern,French,Novice,Voice,Active,Christianity,Divorced,Low income,Average health,Full-time,Analytical
Role249,71,male,Scientist,Introverted,Informal,Cooking,Graduate Degree,Western,French,Novice,Voice,Active,Christianity,In a relationship,Middle income,Health-conscious,Part-time,Collaborative
Role250,53,female,Retired,Introverted,Direct,Video Games,Bachelor,Eastern,French,Intermediate,Video,Active,Atheism,Widowed,Middle income,Health-conscious,Full-time,Collaborative
Role251,57,female,Retired,Extroverted,Direct,Cooking,Bachelor,Western,French,Expert,Text,Active,Atheism,Divorced,Middle income,Healthy,Sporadic,Collaborative
Role252,66,female,Teacher,Innovative,Direct,Traveling,High School,Western,Spanish,Novice,Voice,Active,Islam,Divorced,Low income,Average health,Part-time,Collaborative
Role253,74,female,Doctor,Extroverted,Formal,Video Games,Graduate Degree,Eastern,Mandarin,Intermediate,Mixed,Active,Islam,Widowed,Middle income,Healthy,Full-time,Creative
Role254,30,female,Retired,Introverted,Direct,Sports,Graduate Degree,Middle Eastern,Spanish,Novice,Text,Active,Atheism,In a relationship,High income,Average health,Part-time,Creative
Role255,48,genderqueer,Student,Innovative,Empathetic,Video Games,Bachelor,African,Spanish,Expert,Voice,Active,Humanism,In a relationship,Low income,Health-conscious,Full-time,Creative
Role256,30,nondisclosed,Scientist,Introverted,Mixed,Video Games,Graduate Degree,Middle Eastern,Mandarin,Novice,Mixed,Sedentary,Islam,Married,High income,Healthy,Full-time,Collaborative
Role257,45,female,Doctor,Innovative,Empathetic,Reading,High School,Western,Mandarin,Expert,Voice,Active,Environmentalism,Single,Low income,Healthy,Full-time,Analytical
Role258,54,genderqueer,Scientist,Introverted,Direct,Sports,Bachelor,Middle Eastern,French,Novice,Mixed,Sedentary,Islam,Married,Low income,Health-conscious,Sporadic,Creative
Role259,71,genderqueer,Engineer,Introverted,Humorous,Cooking,Bachelor,Western,French,Novice,Video,Sedentary,Islam,Widowed,High income,Healthy,Full-time,Practical
Role260,25,male,Retired,Extroverted,Mixed,Traveling,Bachelor,African,English,Expert,Voice,Sedentary,Islam,Single,Low income,Average health,Sporadic,Analytical
Role261,45,female,Teacher,Introverted,Mixed,Sports,Graduate Degree,Middle Eastern,Spanish,Expert,Video,Sedentary,Humanism,Widowed,Middle income,Health-conscious,Part-time,Creative
Role262,66,nondisclosed,Scientist,Extroverted,Direct,Painting,Bachelor,Middle Eastern,Mandarin,Intermediate,Video,Sedentary,Christianity,Divorced,Low income,Healthy,Full-time,Creative
Role263,80,female,Engineer,Innovative,Formal,Reading,Bachelor,African,English,Novice,Voice,Active,Christianity,Divorced,Middle income,Healthy,Sporadic,Practical
Role264,18,female,Doctor,Extroverted,Humorous,Video Games,Bachelor,Middle Eastern,Spanish,Intermediate,Video,Sedentary,Christianity,Divorced,Low income,Healthy,Full-time,Creative
Role265,53,genderqueer,Retired,Traditional,Humorous,Cooking,Bachelor,Eastern,Mandarin,Expert,Voice,Active,Humanism,Divorced,Low income,Health-conscious,Full-time,Analytical
Role266,58,male,Retired,Innovative,Empathetic,Reading,High School,Western,Spanish,Intermediate,Text,Active,Islam,Divorced,High income,Health-conscious,Sporadic,Practical
Role267,50,male,Engineer,Traditional,Empathetic,Sports,Graduate Degree,Eastern,English,Intermediate,Voice,Sedentary,Islam,Divorced,Middle income,Health-conscious,Full-time,Analytical
Role268,42,male,Artist,Introverted,Direct,Video Games,High School,Eastern,Mandarin,Intermediate,Voice,Sedentary,Atheism,Divorced,High income,Health-conscious,Part-time,Practical
Role269,34,nondisclosed,Student,Traditional,Empathetic,Video Games,Bachelor,Western,Spanish,Expert,Video,Active,Humanism,Divorced,Middle income,Healthy,Part-time,Practical
Role270,37,nondisclosed,Engineer,Traditional,Empathetic,Painting,High School,Middle Eastern,French,Expert,Text,Active,Environmentalism,Widowed,Low income,Average health,Full-time,Creative
Role271,46,female,Student,Innovative,Direct,Traveling,High School,Western,French,Intermediate,Mixed,Active,Environmentalism,Single,Middle income,Healthy,Full-time,Collaborative
Role272,62,nondisclosed,Student,Introverted,Informal,Painting,Graduate Degree,Middle Eastern,Spanish,Expert,Voice,Active,Christianity,Widowed,High income,Health-conscious,Full-time,Analytical
Role273,73,female,Doctor,Traditional,Direct,Video Games,Graduate Degree,African,English,Novice,Voice,Sedentary,Atheism,Widowed,High income,Healthy,Full-time,Analytical
Role274,77,female,Artist,Extroverted,Mixed,Reading,High School,Eastern,English,Novice,Mixed,Active,Environmentalism,Single,High income,Average health,Part-time,Collaborative
Role275,40,female,Artist,Extroverted,Formal,Painting,Bachelor,Middle Eastern,Spanish,Expert,Mixed,Sedentary,Christianity,Married,High income,Healthy,Sporadic,Practical
Role276,44,genderqueer,Retired,Extroverted,Mixed,Traveling,Graduate Degree,African,French,Intermediate,Mixed,Active,Islam,Widowed,Middle income,Health-conscious,Part-time,Analytical
Role277,64,genderqueer,Scientist,Extroverted,Formal,Cooking,High School,Middle Eastern,Spanish,Novice,Text,Active,Christianity,Married,Low income,Health-conscious,Sporadic,Analytical
Role278,75,male,Student,Extroverted,Direct,Cooking,Graduate Degree,Western,Spanish,Expert,Video,Active,Environmentalism,Divorced,High income,Healthy,Sporadic,Analytical
Role279,58,nondisclosed,Retired,Innovative,Empathetic,Video Games,Bachelor,Western,French,Expert,Mixed,Active,Islam,Widowed,High income,Healthy,Full-time,Practical
Role280,65,female,Engineer,Traditional,Informal,Sports,Graduate Degree,African,French,Novice,Voice,Active,Islam,Widowed,High income,Healthy,Sporadic,Practical
Role281,73,male,Scientist,Traditional,Mixed,Painting,Graduate Degree,Western,English,Novice,Voice,Sedentary,Humanism,Divorced,Middle income,Health-conscious,Sporadic,Analytical
Role282,31,male,Teacher,Extroverted,Empathetic,Traveling,Bachelor,Middle Eastern,Spanish,Intermediate,Voice,Sedentary,Islam,In a relationship,Low income,Healthy,Part-time,Collaborative
Role283,33,genderqueer,Scientist,Extroverted,Formal,Sports,Bachelor,Middle Eastern,Mandarin,Novice,Text,Active,Environmentalism,Widowed,Middle income,Average health,Part-time,Creative
Role284,68,nondisclosed,Retired,Traditional,Humorous,Traveling,Graduate Degree,Eastern,Mandarin,Intermediate,Video,Active,Islam,Single,High income,Health-conscious,Full-time,Practical
Role285,69,genderqueer,Teacher,Introverted,Direct,Reading,Graduate Degree,African,Mandarin,Intermediate,Video,Active,Christianity,Married,Low income,Healthy,Full-time,Collaborative
Role286,41,male,Doctor,Innovative,Mixed,Painting,Graduate Degree,African,French,Intermediate,Voice,Sedentary,Atheism,In a relationship,Middle income,Health-conscious,Full-time,Collaborative
Role287,20,nondisclosed,Teacher,Innovative,Direct,Video Games,Graduate Degree,Western,English,Novice,Video,Sedentary,Atheism,Married,High income,Health-conscious,Sporadic,Collaborative
Role288,44,genderqueer,Engineer,Traditional,Humorous,Painting,Bachelor,African,French,Intermediate,Text,Sedentary,Islam,Divorced,High income,Healthy,Part-time,Collaborative
Role289,27,nondisclosed,Engineer,Introverted,Formal,Video Games,Bachelor,African,Spanish,Novice,Voice,Active,Christianity,Widowed,High income,Average health,Sporadic,Analytical
Role290,22,nondisclosed,Doctor,Extroverted,Informal,Video Games,Bachelor,Eastern,English,Intermediate,Mixed,Active,Christianity,Single,Middle income,Healthy,Part-time,Practical
Role291,65,nondisclosed,Doctor,Extroverted,Mixed,Painting,Graduate Degree,African,Spanish,Intermediate,Mixed,Sedentary,Environmentalism,Single,Low income,Healthy,Part-time,Practical
Role292,66,male,Engineer,Introverted,Direct,Video Games,High School,Eastern,Spanish,Intermediate,Voice,Active,Environmentalism,Single,Low income,Health-conscious,Part-time,Practical
Role293,25,nondisclosed,Artist,Innovative,Empathetic,Video Games,Graduate Degree,African,English,Expert,Mixed,Sedentary,Humanism,Single,Low income,Health-conscious,Full-time,Practical
Role294,66,male,Engineer,Innovative,Direct,Traveling,Graduate Degree,Eastern,French,Expert,Video,Sedentary,Christianity,Married,Low income,Healthy,Sporadic,Analytical
Role295,70,male,Retired,Traditional,Empathetic,Sports,Bachelor,Middle Eastern,English,Expert,Text,Sedentary,Environmentalism,Widowed,Low income,Average health,Part-time,Practical
Role296,56,nondisclosed,Engineer,Introverted,Formal,Sports,Graduate Degree,Western,Spanish,Expert,Video,Active,Atheism,Divorced,Middle income,Average health,Part-time,Creative
Role297,30,genderqueer,Scientist,Innovative,Informal,Painting,Graduate Degree,Middle Eastern,Mandarin,Expert,Mixed,Sedentary,Environmentalism,Single,Middle income,Healthy,Sporadic,Creative
Role298,45,female,Engineer,Extroverted,Informal,Sports,Bachelor,African,French,Novice,Mixed,Active,Christianity,Divorced,Low income,Average health,Part-time,Creative
Role299,34,male,Doctor,Traditional,Mixed,Sports,Graduate Degree,Western,French,Expert,Voice,Active,Environmentalism,Widowed,High income,Average health,Part-time,Collaborative
Role300,52,male,Artist,Traditional,Humorous,Reading,Bachelor,Western,Spanish,Intermediate,Voice,Sedentary,Environmentalism,Married,Middle income,Health-conscious,Part-time,Creative
Role301,34,male,Scientist,Extroverted,Formal,Cooking,High School,Eastern,French,Expert,Video,Sedentary,Islam,Single,High income,Average health,Part-time,Collaborative
Role302,28,nondisclosed,Doctor,Innovative,Mixed,Cooking,Graduate Degree,Middle Eastern,French,Novice,Text,Active,Environmentalism,Married,High income,Healthy,Part-time,Collaborative
Role303,59,female,Student,Traditional,Direct,Sports,Bachelor,African,French,Expert,Voice,Active,Humanism,Widowed,Middle income,Average health,Full-time,Collaborative
Role304,73,male,Teacher,Innovative,Humorous,Cooking,Bachelor,Eastern,English,Intermediate,Text,Sedentary,Atheism,Single,Middle income,Healthy,Sporadic,Practical
Role305,36,male,Doctor,Introverted,Mixed,Painting,Bachelor,Western,Spanish,Intermediate,Text,Sedentary,Humanism,Married,Middle income,Health-conscious,Full-time,Creative
Role306,53,genderqueer,Scientist,Introverted,Empathetic,Traveling,High School,African,Spanish,Expert,Mixed,Sedentary,Humanism,Single,High income,Average health,Sporadic,Analytical
Role307,19,genderqueer,Artist,Extroverted,Informal,Video Games,Graduate Degree,Eastern,Spanish,Novice,Voice,Active,Humanism,Married,Low income,Health-conscious,Full-time,Creative
Role308,22,nondisclosed,Student,Traditional,Direct,Reading,Bachelor,Eastern,French,Expert,Mixed,Sedentary,Atheism,In a relationship,High income,Healthy,Part-time,Creative
Role309,29,nondisclosed,Engineer,Introverted,Direct,Traveling,High School,Middle Eastern,English,Intermediate,Mixed,Sedentary,Humanism,In a relationship,High income,Average health,Part-time,Analytical
Role310,59,female,Artist,Traditional,Empathetic,Painting,Graduate Degree,Eastern,English,Expert,Text,Active,Atheism,Widowed,Middle income,Health-conscious,Full-time,Creative
Role311,74,male,Retired,Traditional,Empathetic,Video Games,Graduate Degree,Middle Eastern,English,Novice,Mixed,Active,Environmentalism,Widowed,Middle income,Average health,Sporadic,Analytical
Role312,39,nondisclosed,Student,Traditional,Mixed,Traveling,Bachelor,Eastern,French,Intermediate,Video,Active,Atheism,Divorced,Low income,Health-conscious,Part-time,Collaborative
Role313,49,nondisclosed,Engineer,Extroverted,Formal,Painting,Graduate Degree,Middle Eastern,Spanish,Novice,Video,Active,Humanism,In a relationship,High income,Health-conscious,Part-time,Collaborative
Role314,53,male,Artist,Innovative,Direct,Reading,High School,African,Mandarin,Intermediate,Text,Sedentary,Christianity,Married,Low income,Healthy,Part-time,Practical
Role315,55,genderqueer,Artist,Innovative,Formal,Cooking,High School,Western,French,Expert,Video,Sedentary,Atheism,Widowed,High income,Health-conscious,Full-time,Practical
Role316,33,nondisclosed,Scientist,Introverted,Direct,Cooking,Bachelor,Eastern,Mandarin,Intermediate,Mixed,Sedentary,Atheism,Single,High income,Health-conscious,Part-time,Creative
Role317,65,genderqueer,Engineer,Traditional,Empathetic,Cooking,Graduate Degree,Eastern,French,Intermediate,Video,Active,Islam,Single,High income,Health-conscious,Full-time,Analytical
